bg2010ge,white_tot_wt,black_tot_wt,aian_tot_wt,asian_tot_wt,other_tot_wt,latin_tot_wt,tot_pop_wt,white_pct_wt,black_pct_wt,aian_pct_wt,asian_pct_wt,other_pct_wt,latin_pct_wt
260150105003,1330.0,0.0,0.0,8.0,0.0,44.0,1382.0,0.962,0.0,0.0,0.006,0.0,0.032
260150106001,958.0,0.0,0.0,0.0,0.0,16.0,974.0,0.984,0.0,0.0,0.0,0.0,0.016
260150106002,883.0,0.0,0.0,0.0,0.0,15.0,898.0,0.983,0.0,0.0,0.0,0.0,0.017
260150106003,963.0,0.0,0.0,0.0,0.0,13.0,976.0,0.987,0.0,0.0,0.0,0.0,0.013
260150106004,1704.0,42.0,0.0,0.0,0.0,1.0,1747.0,0.975,0.024,0.0,0.0,0.0,0.001
260150106005,980.0,69.0,0.0,0.0,0.0,97.0,1146.0,0.855,0.06,0.0,0.0,0.0,0.085
260150106006,789.0,0.0,0.0,0.0,0.0,13.0,802.0,0.984,0.0,0.0,0.0,0.0,0.016
260150107001,635.0,0.0,0.0,0.0,4.0,62.0,701.0,0.906,0.0,0.0,0.0,0.006,0.088
260150107002,1085.0,3.0,0.0,0.0,3.0,56.0,1147.0,0.946,0.003,0.0,0.0,0.003,0.049
260150107003,926.0,9.0,0.0,0.0,21.0,18.0,974.0,0.951,0.009,0.0,0.0,0.022,0.018
260150107004,1077.0,0.0,2.0,0.0,0.0,123.0,1202.0,0.896,0.0,0.002,0.0,0.0,0.102
260150107005,522.0,0.0,21.0,0.0,0.0,22.0,565.0,0.924,0.0,0.037,0.0,0.0,0.039
260150108001,1433.0,0.0,0.0,5.0,0.0,93.0,1531.0,0.936,0.0,0.0,0.003,0.0,0.061
260150108002,1868.0,15.0,0.0,0.0,0.0,0.0,1883.0,0.992,0.008,0.0,0.0,0.0,0.0
260150113001,2346.0,2.0,0.0,5.0,0.0,0.0,2353.0,0.997,0.001,0.0,0.002,0.0,0.0
260150113002,769.0,0.0,0.0,31.0,0.0,26.0,826.0,0.931,0.0,0.0,0.038,0.0,0.031
260150113003,611.0,0.0,0.0,0.0,10.0,262.0,883.0,0.692,0.0,0.0,0.0,0.011,0.297
260150113004,1049.0,0.0,0.0,4.0,0.0,126.0,1179.0,0.89,0.0,0.0,0.003,0.0,0.107
260150113005,1923.0,0.0,0.0,0.0,0.0,0.0,1923.0,1.0,0.0,0.0,0.0,0.0,0.0
260150113006,1234.0,1.0,0.0,3.0,0.0,0.0,1238.0,0.997,0.001,0.0,0.002,0.0,0.0
260150114001,1484.0,0.0,0.0,0.0,0.0,73.0,1557.0,0.953,0.0,0.0,0.0,0.0,0.047
